zip,cluster
91901,cluster 1
91902,cluster 1
91905,cluster 1
91906,cluster 1
91910,cluster 1
91911,cluster 1
92028,cluster 1
92029,cluster 1
92036,cluster 1
92058,cluster 1
92058,cluster 1
91913,cluster 1
91914,cluster 1
91915,cluster 1
91916,cluster 1
91934,cluster 1
91935,cluster 1
91941,cluster 1
91942,cluster 1
91945,cluster 1
91917,cluster 1
91931,cluster 1
91932,cluster 1
91948,cluster 1
91950,cluster 1
91962,cluster 1
92058,cluster 1
92058,cluster 1
92058,cluster 1
91963,cluster 1
91977,cluster 1
91978,cluster 2
91980,cluster 2
92003,cluster 2
92027,cluster 2
92004,cluster 2
92007,cluster 2
92008,cluster 2
92009,cluster 2
92010,cluster 2
92011,cluster 2
92014,cluster 2
92019,cluster 2
92020,cluster 2
92021,cluster 2
92024,cluster 2
92025,cluster 2
92026,cluster 2
92037,cluster 2
92037,cluster 2
92040,cluster 2
92054,cluster 2
92055,cluster 2
92056,cluster 2
92057,cluster 2
92058,cluster 2
92058,cluster 2
92058,cluster 2
92059,cluster 2
92060,cluster 2
92061,cluster 2
92064,cluster 2
92065,cluster 2
92083,cluster 2
92083,cluster 2
92084,cluster 2
92086,cluster 2
92091,cluster 2
92155,cluster 2
92066,cluster 2
92067,cluster 2
92069,cluster 2
92070,cluster 2
92071,cluster 2
92075,cluster 2
92078,cluster 2
92081,cluster 2
92082,cluster 2
92093,cluster 2
92161,cluster 2
92096,cluster 2
92101,cluster 2
92102,cluster 2
92103,cluster 2
92104,cluster 2
92123,cluster 2
92124,cluster 2
92105,cluster 2
92106,cluster 2
92107,cluster 2
92108,cluster 2
92109,cluster 3
92110,cluster 3
92111,cluster 3
92113,cluster 3
92114,cluster 3
92115,cluster 3
92116,cluster 3
92117,cluster 3
92118,cluster 3
92119,cluster 3
92120,cluster 3
92121,cluster 3
92136,cluster 3
92139,cluster 3
92122,cluster 3
92140,cluster 3
92145,cluster 3
92154,cluster 3
92126,cluster 3
92127,cluster 3
92128,cluster 3
92129,cluster 3
92130,cluster 3
92131,cluster 3
92134,cluster 3
92135,cluster 3
92173,cluster 3
92182,cluster 3
92259,cluster 3
92536,cluster 3
92672,cluster 3
